date,streams,position,mean_streams,max_position
2017-11-16,438256,50,273445,195
2017-11-16,334488,65,273445,195
2017-11-16,289695,88,273445,195
2017-11-16,203186,165,273445,195
2017-11-16,191092,186,273445,195
2017-11-16,183954,195,273445,195
2017-11-17,559551,34,313555,176
2017-11-17,389841,53,313555,176
2017-11-17,336258,73,313555,176
2017-11-17,244484,129,313555,176
2017-11-17,241383,132,313555,176
2017-11-17,213248,167,313555,176
2017-11-17,210121,176,313555,176
2017-11-18,395970,51,272743,194
2017-11-18,270998,88,272743,194
2017-11-18,243208,112,272743,194
2017-11-18,180796,194,272743,194
2017-11-19,304493,61,247626,120
2017-11-19,229005,104,247626,120
2017-11-19,209380,120,247626,120
2017-11-20,313988,69,264147,119
2017-11-20,247917,106,264147,119
2017-11-20,230536,119,264147,119
2017-11-21,292351,85,245276,157
2017-11-21,230534,128,245276,157
2017-11-21,212943,157,245276,157
2017-11-22,264218,111,223692,193
2017-11-22,212162,164,223692,193
2017-11-22,194695,193,223692,193
2017-11-23,215199,125,194568,190
2017-11-23,173938,190,194568,190
2017-11-24,189885,136,189885,136
2017-11-25,180830,166,180830,166
2017-11-26,177247,178,177247,178
2017-11-27,213252,144,213252,144
2017-11-28,205067,161,205067,161
2017-11-29,214772,148,214772,148
2017-11-30,253663,109,253663,109
2017-12-01,260431,127,260431,127
2017-12-02,226939,149,226939,149
2017-12-03,220056,133,220056,133
2017-12-04,262261,118,262261,118
2017-12-05,263299,119,263299,119
2017-12-06,250508,134,250508,134
2017-12-07,244737,147,244737,147
2017-12-08,233428,169,233428,169
2017-12-09,202579,196,202579,196
2017-12-10,196819,171,196819,171
2017-12-11,225710,148,225710,148
2017-12-12,245357,138,245357,138
2017-12-13,241512,142,241512,142
2017-12-14,234450,153,234450,153
2017-12-15,225088,187,225088,187
2017-12-16,203573,198,203573,198
2017-12-17,188342,193,188342,193
2017-12-18,218929,170,218929,170
2017-12-19,228223,163,228223,163
2017-12-20,242199,145,242199,145
