"","Artist","not","Fri_Sat","ratio"
"1","Earth, Wind & Fire",244734,436365.5,1.78301952323747
"2","Swae Lee",190775,308619.5,1.6177145852444
"3","Gunna",298776,473934.5,1.58625358127828
"4","Paul Rosenberg",261216,404280.5,1.54768658887664
"5","Bas",275153,417449.5,1.51715409245038
"6","Carly Rae Jepsen",174945,263427,1.50577038497814
"7","ODESZA",171197,256818.5,1.50013434814862
"8","X Ambassadors",146715,217662,1.48357018709743
"9","Thirty Seconds To Mars",181875.5,264224,1.4527740129924
"10","Arctic Monkeys",200345,290320.5,1.44910279767401
"11","Pusha T",252320,364698,1.44537888395688
"12","Mozzy",244203,345515.5,1.41487000569199
"13","The 1975",216487,304414,1.40615371823712
"14","London On Da Track",182509,256550.5,1.40568684284063
"15","H.E.R.",233294,327765,1.40494397627029
"16","Kris Wu",176048.5,247333.5,1.40491682689713
"17","Coldplay",162610,228307,1.40401574318923
"18","Linkin Park",184036,257066.5,1.39682725118998
"19","Harry Styles",239277,330431.5,1.38095805280073
"20","Gorillaz",196806,268184.5,1.36268457262482
"21","Nas",313970.5,426965,1.35988890676035
"22","HAIM",197814,266945,1.34947475911715
"23","Dierks Bentley",168307,224244,1.33235100144379
"24","Rich Brian",192820,256898,1.3323202987242
"25","BROCKHAMPTON",220716,290226,1.31492959277986
"26","DNCE",150209,194710,1.29626054364252
"27","Chantel Jeffries",213106,276141,1.29579176560022
"28","Logic",305436,388550,1.27211592608599
"29","Florida Georgia Line",186269,236887,1.27174677482566
"30","T.I.",197947,250149,1.26371705557548
"31","James Blake",280882,352716,1.25574440512386
"32","KIDS SEE GHOSTS",325717,407919,1.25237245829969
"33","JENNIE",212491,265917,1.25142711926623
"34","A$AP Rocky",279405,345196,1.2354682271255
"35","Tyler, The Creator",205775,253805.5,1.23341270805491
"36","Huncho Jack",236632.5,290771,1.22878725449801
"37","Normani",233499.5,286902,1.22870498652031
"38","Lana Del Rey",208675,256188,1.22768899005631
"39","Gesaffelstein",525187,641623,1.2217038883293
"40","Belly",205166,250402,1.22048487566166
"41","Diplo",235055,286870,1.22043776988364
"42","Paramore",206277,250641,1.21507002719644
"43","Stevie Wonder",267794.5,324255,1.21083517398602
"44","Blake Shelton",158382,191450,1.20878635198444
"45","Meek Mill",289384,349712.5,1.20847213391203
"46","Daryl Hall & John Oates",249201,300115,1.20430897147283
"47","Juicy J",212619,254840.5,1.19857820796824
"48","Sam Smith",317185,377788,1.19106515125242
"49","Sugarland",240546,285031,1.18493344308365
"50","Future",270858,320583,1.18358327979975
"51","Chance the Rapper",271650,320229,1.17882937603534
"52","Keala Settle",257273,302535,1.17592984883762
"53","DJ Durel",238688,279815.5,1.17230652567368
"54","88rising",207961.5,243531,1.17103887017549
"55","Lil Yachty",219397,256234,1.1679011107718
"56","Eminem",259847,302890,1.16564747716926
"57","Carrie Underwood",194363,226377.5,1.16471499205096
"58","The xx",153630.5,178909,1.16454089519985
"59","The Ronettes",301629,350418,1.16175168833236
"60","Janelle Monáe",216983,251305,1.15817829046515
"61","Silk City",399670,460873.5,1.15313508644632
"62","Zacari",260328.5,299342,1.14986257747423
"63","WizKid",175666,201671.5,1.14803946125033
"64","Marshmello",352600,404429,1.14699092456041
"65","Gene Autry",242047,276352,1.14172867253054
"66","Judy Garland",246340.5,280205.5,1.13747231981749
"67","Takeoff",289985.5,329648,1.13677408008331
"68","Pharrell Williams",243828,277033,1.13618206276556
"69","Vance Joy",195797.5,222382,1.1357754823223
"70","Peter Manos",224542,254776.5,1.13464964238316
"71","Jay Critch",181850,206304,1.13447346714325
"72","Selena Gomez",337839,383101,1.1339750591258
"73","R. Kelly",165653,187809,1.13374946424152
"74","BTS",254017,287209.5,1.13067038820236
"75","Ed Sheeran",282916,319438,1.12909132039192
"76","Nipsey Hussle",202851,228999,1.12890249493471
"77","Frank Ocean",213707,241212.5,1.12870659360713
"78","Justin Timberlake",212470,239723,1.12826752012049
"79","Mariah Carey",526539.5,592952,1.12613013838468
"80","Joyner Lucas",221180,249074,1.12611447689665
"81","Big Sean",262023,294506,1.12397003316503
"82","Chris Stapleton",189569,213019,1.12370166008155
"83","José Feliciano",300925,338052,1.12337625654233
"84","Joey Bada$$",187403.5,210448,1.12296728716379
"85","Justin Bieber",269591.5,302542,1.12222380898508
"86","Lorde",295050,330842,1.1213082528385
"87","Ab-Soul",296553,332194,1.12018425037009
"88","Dean Martin",259715.5,290470,1.11841611301597
"89","Nick Jonas",186675,208666,1.11780366947904
"90","The Carters",290667,324828,1.11752624136899
"91","The Beach Boys",241153,269253,1.11652353485132
"92","Cardi B",444611,496054,1.11570339015454
"93","Ty Dolla $ign",227436,253702,1.11548743382754
"94","Zay Hilfigerrr",188736.5,210481,1.11521088925566
"95","G Herbo",262458.5,292377,1.1139932598868
"96","Denzel Curry",219919.5,244949,1.11381209942729
"97","Mykola Dmytrovych Leontovych",279528,311156,1.11314787785123
"98","Mason Ramsey",487904.5,542201,1.1112850978009
"99","Rick Ross",173818,192948.5,1.11006052307586
"100","DJ Snake",365010,404555,1.10833949754801
"101","Brett Eldredge",293536,325255,1.10805829608634
"102","Brenda Lee",558449,618761,1.10799911898848
"103","Sheck Wes",990679.5,1097463,1.10778813935284
"104","Major Lazer",286062,316821,1.10752564129454
"105","K/DA",235628,260820,1.10691428862444
"106","Aaron Carter",240723,266320,1.10633383598576
"107","San Holo",246735,272865,1.10590309441303
"108","Chuck Berry",284597,314422,1.10479730988029
"109","Lil Baby",421035,463926,1.10187039082262
"110","Nevada",207161,228210,1.10160696270051
"111","Tyga",511801,562178,1.09843083542236
"112","Alessia Cara",232906,255591,1.09739980936515
"113","NAV",219859.5,241186,1.09700058446417
"114","A$AP Mob",182303,199964.5,1.09687991969414
"115","Yo Gotti",293020.5,321286,1.09646253419129
"116","Britney Spears",262628,287874,1.0961283640739
"117","Migos",300246,329089,1.09606456039381
"118","Martin Garrix",308663,338248,1.09584887077492
"119","A$AP Ferg",339018,371509.5,1.09584004389147
"120","Morgan Wallen",206946,226763,1.0957592801987
"121","King Princess",238185.5,260866,1.09522200133929
"122","Natti Natasha",186704,204319.5,1.094349880024
"123","DVBBS",233024,254945.5,1.09407400096127
"124","David Guetta",282150.5,308692,1.09406859105336
"125","Halsey",440411,481837,1.09406213741255
"126","BlocBoy JB",443223,484801,1.09380830868434
"127","Vince Staples",279801,305828.5,1.09302146882963
"128","City Girls",262000,286002.5,1.09161259541985
"129","Nebu Kiniza",177755,193798,1.09025343872184
"130","Nicki Minaj",282841,308244.5,1.08981547936827
"131","Lil Pump",246504,268246,1.08820140849641
