date,artist,total_streams
2017-01-01,Drake,3909721
2017-01-01,The Chainsmokers,2171013
2017-01-01,Post Malone,740757
2017-01-02,Drake,3386567
2017-01-02,The Chainsmokers,1798392
2017-01-02,Post Malone,753549
2017-01-03,Drake,3677771
2017-01-03,The Chainsmokers,1994706
2017-01-03,Post Malone,840475
2017-01-04,Drake,3666873
2017-01-04,The Chainsmokers,2009052
2017-01-04,Post Malone,855890
2017-01-05,Drake,3764758
2017-01-05,The Chainsmokers,2004687
2017-01-05,Post Malone,873291
2017-01-06,Ed Sheeran,3647749
2017-01-06,Drake,3604295
2017-01-06,The Chainsmokers,1956333
2017-01-06,Post Malone,872738
2017-01-07,Ed Sheeran,3459723
2017-01-07,Drake,3572889
2017-01-07,The Chainsmokers,1725905
2017-01-07,Post Malone,785201
2017-01-08,Ed Sheeran,2836603
2017-01-08,Drake,3413057
2017-01-08,The Chainsmokers,1605396
2017-01-08,Post Malone,755936
2017-01-09,Ed Sheeran,3184992
2017-01-09,Drake,3343628
2017-01-09,The Chainsmokers,1736863
2017-01-09,Post Malone,854510
2017-01-10,Ed Sheeran,2863963
2017-01-10,Drake,3481109
2017-01-10,The Chainsmokers,1817130
2017-01-10,Post Malone,855917
2017-01-11,Ed Sheeran,2861462
2017-01-11,Drake,3571884
2017-01-11,The Chainsmokers,1841385
2017-01-11,Post Malone,885418
2017-01-12,Ed Sheeran,2710517
2017-01-12,Drake,3739224
2017-01-12,The Chainsmokers,1907248
2017-01-12,Post Malone,918366
2017-01-13,Ed Sheeran,2689569
2017-01-13,Drake,3818839
2017-01-13,The Chainsmokers,3099351
2017-01-13,Post Malone,938615
2017-01-14,Ed Sheeran,2386590
2017-01-14,Drake,3820118
2017-01-14,The Chainsmokers,3076160
2017-01-14,Post Malone,837661
2017-01-15,Ed Sheeran,2177324
2017-01-15,Drake,3511569
2017-01-15,The Chainsmokers,2790153
2017-01-15,Post Malone,781959
2017-01-16,Ed Sheeran,2371881
2017-01-16,Drake,3539435
2017-01-16,The Chainsmokers,2991903
2017-01-16,Post Malone,814341
2017-01-17,Ed Sheeran,2460794
2017-01-17,The Chainsmokers,3204958
2017-01-17,Drake,3402578
2017-01-17,Post Malone,884004
2017-01-18,Ed Sheeran,2444660
2017-01-18,Drake,3455648
2017-01-18,The Chainsmokers,3131737
2017-01-18,Post Malone,896057
2017-01-19,Ed Sheeran,2421800
2017-01-19,Drake,3632263
