mean_streams,date,track_name
316421,2017-05-20,Butterfly Effect
303403,2017-05-21,Butterfly Effect
370292,2017-05-22,Butterfly Effect
403137,2017-05-23,Butterfly Effect
411779,2017-05-24,Butterfly Effect
415933,2017-05-25,Butterfly Effect
425350,2017-05-26,Butterfly Effect
387263,2017-05-27,Butterfly Effect
351045,2017-05-28,Butterfly Effect
361069,2017-05-29,Butterfly Effect
437526,2017-06-01,Butterfly Effect
395314,2017-06-03,Butterfly Effect
352217,2017-06-04,Butterfly Effect
404659,2017-06-05,Butterfly Effect
457009,2017-06-06,Butterfly Effect
458057,2017-06-07,Butterfly Effect
428332,2017-06-08,Butterfly Effect
472430,2017-06-09,Butterfly Effect
499846,2017-06-10,Butterfly Effect
472637,2017-06-11,Butterfly Effect
532536,2017-06-12,Butterfly Effect
550076,2017-06-13,Butterfly Effect
574100,2017-06-14,Butterfly Effect
565038,2017-06-15,Butterfly Effect
553213,2017-06-16,Butterfly Effect
523608,2017-06-17,Butterfly Effect
472387,2017-06-18,Butterfly Effect
521911,2017-06-19,Butterfly Effect
545015,2017-06-20,Butterfly Effect
523950,2017-06-21,Butterfly Effect
604726,2017-06-22,Butterfly Effect
643846,2017-06-23,Butterfly Effect
639202,2017-06-24,Butterfly Effect
591111,2017-06-25,Butterfly Effect
667128,2017-06-26,Butterfly Effect
679777,2017-06-27,Butterfly Effect
672681,2017-06-28,Butterfly Effect
677456,2017-06-29,Butterfly Effect
687820,2017-06-30,Butterfly Effect
652770,2017-07-01,Butterfly Effect
573399,2017-07-02,Butterfly Effect
610395,2017-07-03,Butterfly Effect
607317,2017-07-04,Butterfly Effect
635257,2017-07-05,Butterfly Effect
666811,2017-07-06,Butterfly Effect
680312,2017-07-07,Butterfly Effect
671142,2017-07-08,Butterfly Effect
621006,2017-07-09,Butterfly Effect
673702,2017-07-10,Butterfly Effect
710001,2017-07-11,Butterfly Effect
719108,2017-07-12,Butterfly Effect
715903,2017-07-13,Butterfly Effect
761740,2017-07-14,Butterfly Effect
747478,2017-07-15,Butterfly Effect
685962,2017-07-16,Butterfly Effect
733769,2017-07-17,Butterfly Effect
771408,2017-07-18,Butterfly Effect
783748,2017-07-19,Butterfly Effect
755220,2017-07-20,Butterfly Effect
790102,2017-07-21,Butterfly Effect
774007,2017-07-22,Butterfly Effect
701629,2017-07-23,Butterfly Effect
765812,2017-07-24,Butterfly Effect
810068,2017-07-25,Butterfly Effect
803895,2017-07-26,Butterfly Effect
789354,2017-07-27,Butterfly Effect
824102,2017-07-28,Butterfly Effect
801347,2017-07-29,Butterfly Effect
729855,2017-07-30,Butterfly Effect
775161,2017-07-31,Butterfly Effect
779574,2017-08-01,Butterfly Effect
783295,2017-08-02,Butterfly Effect
771456,2017-08-03,Butterfly Effect
801591,2017-08-04,Butterfly Effect
788784,2017-08-05,Butterfly Effect
718635,2017-08-06,Butterfly Effect
750746,2017-08-07,Butterfly Effect
769051,2017-08-08,Butterfly Effect
791063,2017-08-09,Butterfly Effect
779679,2017-08-10,Butterfly Effect
756621,2017-08-11,Butterfly Effect
703097,2017-08-12,Butterfly Effect
647424,2017-08-13,Butterfly Effect
675186,2017-08-14,Butterfly Effect
678853,2017-08-15,Butterfly Effect
688844,2017-08-16,Butterfly Effect
724190,2017-08-17,Butterfly Effect
759407,2017-08-18,Butterfly Effect
743978,2017-08-19,Butterfly Effect
681510,2017-08-20,Butterfly Effect
699670,2017-08-21,Butterfly Effect
746383,2017-08-22,Butterfly Effect
761833,2017-08-23,Butterfly Effect
788332,2017-08-24,Butterfly Effect
805973,2017-08-25,Butterfly Effect
762958,2017-08-26,Butterfly Effect
627835,2017-08-27,Butterfly Effect
708356,2017-08-28,Butterfly Effect
751894,2017-08-29,Butterfly Effect
785186,2017-08-30,Butterfly Effect
784524,2017-08-31,Butterfly Effect
817980,2017-09-01,Butterfly Effect
749394,2017-09-02,Butterfly Effect
686672,2017-09-03,Butterfly Effect
700873,2017-09-04,Butterfly Effect
729392,2017-09-05,Butterfly Effect
750447,2017-09-06,Butterfly Effect
768111,2017-09-07,Butterfly Effect
795886,2017-09-08,Butterfly Effect
747381,2017-09-09,Butterfly Effect
669400,2017-09-10,Butterfly Effect
709443,2017-09-11,Butterfly Effect
744028,2017-09-12,Butterfly Effect
739410,2017-09-13,Butterfly Effect
713020,2017-09-14,Butterfly Effect
729766,2017-09-15,Butterfly Effect
680505,2017-09-16,Butterfly Effect
587940,2017-09-17,Butterfly Effect
649721,2017-09-18,Butterfly Effect
680146,2017-09-19,Butterfly Effect
692540,2017-09-20,Butterfly Effect
698369,2017-09-21,Butterfly Effect
701315,2017-09-22,Butterfly Effect
639763,2017-09-23,Butterfly Effect
559064,2017-09-24,Butterfly Effect
606858,2017-09-25,Butterfly Effect
620027,2017-09-26,Butterfly Effect
624271,2017-09-27,Butterfly Effect
628794,2017-09-28,Butterfly Effect
663403,2017-09-29,Butterfly Effect
652162,2017-09-30,Butterfly Effect
579956,2017-10-01,Butterfly Effect
614423,2017-10-02,Butterfly Effect
641539,2017-10-03,Butterfly Effect
655546,2017-10-04,Butterfly Effect
689090,2017-10-05,Butterfly Effect
730496,2017-10-06,Butterfly Effect
672721,2017-10-07,Butterfly Effect
580730,2017-10-08,Butterfly Effect
612462,2017-10-09,Butterfly Effect
621530,2017-10-10,Butterfly Effect
614121,2017-10-11,Butterfly Effect
638983,2017-10-12,Butterfly Effect
680872,2017-10-13,Butterfly Effect
666522,2017-10-14,Butterfly Effect
597979,2017-10-15,Butterfly Effect
622912,2017-10-16,Butterfly Effect
642930,2017-10-17,Butterfly Effect
640967,2017-10-18,Butterfly Effect
663139,2017-10-19,Butterfly Effect
702140,2017-10-20,Butterfly Effect
682226,2017-10-21,Butterfly Effect
603734,2017-10-22,Butterfly Effect
618219,2017-10-23,Butterfly Effect
625576,2017-10-24,Butterfly Effect
638244,2017-10-25,Butterfly Effect
641435,2017-10-26,Butterfly Effect
674914,2017-10-27,Butterfly Effect
609337,2017-10-28,Butterfly Effect
554248,2017-10-29,Butterfly Effect
582681,2017-10-30,Butterfly Effect
593113,2017-10-31,Butterfly Effect
571455,2017-11-01,Butterfly Effect
590393,2017-11-02,Butterfly Effect
621010,2017-11-03,Butterfly Effect
565702,2017-11-04,Butterfly Effect
521184,2017-11-05,Butterfly Effect
558185,2017-11-06,Butterfly Effect
585335,2017-11-07,Butterfly Effect
586537,2017-11-08,Butterfly Effect
588956,2017-11-09,Butterfly Effect
597256,2017-11-10,Butterfly Effect
554961,2017-11-11,Butterfly Effect
509231,2017-11-12,Butterfly Effect
539482,2017-11-13,Butterfly Effect
566501,2017-11-14,Butterfly Effect
570790,2017-11-15,Butterfly Effect
577446,2017-11-16,Butterfly Effect
587072,2017-11-17,Butterfly Effect
554854,2017-11-18,Butterfly Effect
507443,2017-11-19,Butterfly Effect
526373,2017-11-20,Butterfly Effect
563094,2017-11-21,Butterfly Effect
574856,2017-11-22,Butterfly Effect
498412,2017-11-23,Butterfly Effect
453067,2017-11-24,Butterfly Effect
479048,2017-11-25,Butterfly Effect
472243,2017-11-26,Butterfly Effect
501991,2017-11-27,Butterfly Effect
527663,2017-11-28,Butterfly Effect
540818,2017-11-29,Butterfly Effect
550738,2017-11-30,Butterfly Effect
568431,2017-12-01,Butterfly Effect
549399,2017-12-02,Butterfly Effect
