date,streams,position,mean_streams,max_position
2017-01-25,147434,195,147434,195
2017-01-26,153005,194,153005,194
2017-01-27,158782,200,158782,200
2017-01-28,155472,187,155472,187
2017-01-29,161830,157,161830,157
2017-01-30,187341,145,187341,145
2017-01-31,204057,135,204057,135
2017-02-01,223330,122,223330,122
2017-02-02,236280,108,236280,108
2017-02-03,248457,115,248457,115
2017-02-04,230780,122,230780,122
2017-02-05,217718,124,217718,124
2017-02-06,221427,111,221427,111
2017-02-07,248711,106,248711,106
2017-02-08,266068,96,266068,96
2017-02-09,262151,97,262151,97
2017-02-10,299850,73,299850,73
2017-02-11,355221,49,355221,49
2017-02-12,342023,45,342023,45
2017-02-13,378257,45,378257,45
2017-02-14,390578,45,390578,45
2017-02-15,404831,43,404831,43
2017-02-16,423771,39,423771,39
2017-02-17,434099,51,434099,51
2017-02-18,407139,47,407139,47
2017-02-19,375073,47,375073,47
2017-02-20,427514,40,427514,40
2017-02-21,448931,38,448931,38
2017-02-22,462923,38,462923,38
2017-02-23,462571,41,462571,41
2017-02-24,450948,50,450948,50
2017-02-25,371821,53,371821,53
2017-02-26,332132,51,332132,51
2017-02-27,353721,52,353721,52
2017-02-28,370507,52,370507,52
2017-03-01,292529,79,242170,152
2017-03-01,191810,152,242170,152
2017-03-02,476207,38,476207,38
2017-03-03,518201,50,518201,50
2017-03-04,511559,47,511559,47
2017-03-05,462595,46,462595,46
2017-03-06,492818,48,492818,48
2017-03-07,513503,48,513503,48
2017-03-08,514865,46,514865,46
2017-03-09,506844,44,506844,44
2017-03-10,538965,40,538965,40
2017-03-11,532642,36,532642,36
2017-03-12,480446,39,480446,39
2017-03-13,492529,42,492529,42
2017-03-14,501533,37,501533,37
2017-03-15,516698,33,516698,33
2017-03-16,501633,38,501633,38
2017-03-17,535530,32,535530,32
2017-03-18,525317,29,525317,29
2017-03-19,461464,53,461464,53
2017-03-20,472133,52,472133,52
2017-03-21,482737,51,482737,51
2017-03-22,489212,51,489212,51
2017-03-23,498527,49,498527,49
2017-03-24,564418,48,564418,48
2017-03-25,565878,40,565878,40
2017-03-26,497276,39,497276,39
2017-03-27,518273,42,518273,42
2017-03-28,549473,39,549473,39
2017-03-29,567922,33,567922,33
2017-03-30,623360,31,623360,31
2017-03-31,691684,28,691684,28
2017-04-01,664190,25,664190,25
2017-04-02,594979,25,594979,25
2017-04-03,616402,28,616402,28
2017-04-04,631794,27,631794,27
2017-04-05,620484,27,620484,27
2017-04-06,618703,26,618703,26
2017-04-07,651636,29,651636,29
2017-04-08,638183,27,638183,27
2017-04-09,586015,27,586015,27
2017-04-10,596913,28,596913,28
2017-04-11,596759,28,596759,28
2017-04-12,607955,28,607955,28
2017-04-13,631221,27,631221,27
2017-04-14,638079,37,638079,37
2017-04-15,592156,35,592156,35
2017-04-16,529423,36,529423,36
2017-04-17,564174,37,564174,37
2017-04-18,595418,37,595418,37
2017-04-19,602198,35,602198,35
2017-04-20,617870,35,617870,35
2017-04-21,626746,37,626746,37
2017-04-22,600755,33,600755,33
2017-04-23,536913,32,536913,32
2017-04-24,536819,40,536819,40
2017-04-25,554481,38,554481,38
2017-04-26,560579,37,560579,37
2017-04-27,572695,36,572695,36
2017-04-28,593636,37,593636,37
2017-04-29,593873,31,593873,31
2017-04-30,533834,31,533834,31
2017-05-01,529828,36,529828,36
2017-05-02,557381,36,557381,36
2017-05-03,555197,35,555197,35
2017-05-04,563087,35,563087,35
2017-05-05,552887,47,552887,47
2017-05-06,530184,33,530184,33
2017-05-07,477897,34,477897,34
2017-05-08,496959,41,496959,41
2017-05-09,528497,39,528497,39
2017-05-10,533977,39,533977,39
2017-05-11,541493,38,541493,38
2017-05-12,598728,39,598728,39
2017-05-13,592497,35,592497,35
2017-05-14,526267,34,526267,34
2017-05-15,538631,39,538631,39
2017-05-16,560193,37,560193,37
2017-05-17,562697,37,562697,37
2017-05-18,558556,42,558556,42
2017-05-19,588280,37,401721,152
2017-05-19,215162,152,401721,152
2017-05-20,567103,34,567103,34
2017-05-21,520862,35,520862,35
2017-05-22,531409,41,531409,41
2017-05-23,560092,39,560092,39
2017-05-24,567640,38,567640,38
2017-05-25,583593,39,583593,39
2017-05-26,580375,42,580375,42
2017-05-27,529606,44,529606,44
2017-05-28,480722,42,480722,42
2017-05-29,463512,48,463512,48
2017-06-01,502464,47,502464,47
2017-06-03,478843,48,478843,48
2017-06-04,445429,43,445429,43
2017-06-05,452069,47,452069,47
2017-06-06,469772,49,469772,49
2017-06-07,472574,50,472574,50
2017-06-08,497816,43,497816,43
2017-06-09,511225,42,511225,42
2017-06-10,450695,48,450695,48
2017-06-11,416041,47,416041,47
2017-06-12,424602,49,424602,49
2017-06-13,416916,50,416916,50
2017-06-14,426869,50,426869,50
2017-06-15,438301,50,438301,50
2017-06-16,447883,53,447883,53
2017-06-17,401339,52,401339,52
2017-06-18,358240,51,358240,51
2017-06-19,370418,54,370418,54
2017-06-20,385185,53,385185,53
2017-06-21,367673,55,367673,55
2017-06-22,373728,53,373728,53
2017-06-23,362232,60,362232,60
2017-06-24,346283,60,346283,60
2017-06-25,334670,54,334670,54
2017-06-26,344734,60,344734,60
2017-06-27,348992,59,348992,59
2017-06-28,325394,68,325394,68
2017-06-29,336802,67,336802,67
2017-06-30,339461,71,339461,71
2017-07-01,325769,66,325769,66
2017-07-02,302815,61,302815,61
2017-07-03,306239,66,306239,66
2017-07-04,299080,68,299080,68
2017-07-05,287327,73,287327,73
2017-07-06,313502,68,313502,68
2017-07-07,306334,79,306334,79
2017-07-08,290654,77,290654,77
2017-07-09,281803,70,281803,70
2017-07-10,285170,79,285170,79
2017-07-11,296214,79,296214,79
2017-07-12,288628,77,288628,77
2017-07-13,305301,75,305301,75
2017-07-14,305457,83,305457,83
2017-07-15,289679,79,289679,79
2017-07-16,277525,71,277525,71
2017-07-17,277678,80,277678,80
2017-07-18,284913,81,284913,81
2017-07-19,270947,83,270947,83
2017-07-20,276233,84,276233,84
2017-07-21,274214,124,274214,124
2017-07-22,268896,94,268896,94
2017-07-23,263138,80,263138,80
2017-07-24,266143,90,266143,90
2017-07-25,277578,90,277578,90
2017-07-26,266193,92,266193,92
2017-07-27,275385,85,275385,85
2017-07-28,272686,90,272686,90
2017-07-29,260770,85,260770,85
2017-07-30,251274,79,251274,79
2017-07-31,253182,91,253182,91
2017-08-01,263983,85,263983,85
2017-08-02,252780,90,252780,90
2017-08-03,268822,84,268822,84
2017-08-04,267335,89,267335,89
2017-08-05,247942,93,247942,93
2017-08-06,239171,85,239171,85
2017-08-07,236044,96,236044,96
2017-08-08,243879,95,243879,95
2017-08-09,242162,98,242162,98
2017-08-10,253736,93,253736,93
2017-08-11,247323,110,247323,110
2017-08-12,238721,97,238721,97
2017-08-13,236582,87,236582,87
2017-08-14,228615,100,228615,100
2017-08-15,238663,102,238663,102
2017-08-16,233534,104,233534,104
2017-08-17,243704,98,243704,98
2017-08-18,250344,105,250344,105
2017-08-19,245068,101,245068,101
2017-08-20,238173,91,238173,91
2017-08-21,225171,108,225171,108
2017-08-22,237344,105,237344,105
2017-08-23,230508,111,230508,111
2017-08-24,247535,98,247535,98
